"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI/UX","0","Footer Social Links","1","0","Footer Instagram Link","0"
"0","Courses Functionality","0","Course Details","1","0","Open course details page","0"
"0","Courses Functionality","0","Course Card UI","1","0","Course Card UI Elements","0"
"0","Authentication","0","Login","1","0","Login with invalid credentials","0"
"0","Registration","0","Student Signup","1","0","Join as student","0"
"0","UI/UX","0","Footer Social Links","1","0","Footer Linkedin Link","0"
"0","UI/UX","0","Footer Social Links","1","0","Footer Facebook Link","0"
"0","Authentication","0","Login","1","0","Login with empty fields","0"
"0","Course Purchase","0","End-To-End Subscription","1","0","End-to-end subscription flow","0"
"0","Registration","0","Signup Validations","1","0","Registration with empty username","0"
"0","Courses Functionality","0","Search","1","0","Search with keyword","0"
