"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click footer Instagram icon, check that correct Instagram page opens","3415","Verify Instagram icon opens instagram.com","Surefire suite","2025-12-28","passed","2025-12-28","tests.VerifyInstagramLinkTest","Surefire test","tests.VerifyInstagramLinkTest","testInstagramFooterLink"
"Verify that choosing a course opens the course details page and displays the correct section.","3752","Open course details from all-courses page","Surefire suite","2025-12-28","passed","2025-12-28","tests.OpenCourseDetailsTest","Surefire test","tests.OpenCourseDetailsTest","testOpenCourseDetails"
"Checks one card on all-courses page for all required UI elements","1629","Verify course card displays image/title/instructor/subscribe button","Surefire suite","2025-12-28","passed","2025-12-28","tests.VerifyCourseCardUITest","Surefire test","tests.VerifyCourseCardUITest","testCourseCardUI"
"Ensure that the error message for invalid credentials appears when wrong credentials are used.","1712","Verify error message with invalid login credentials","Surefire suite","2025-12-28","passed","2025-12-28","tests.LoginWithInvalidCredentialsTest","Surefire test","tests.LoginWithInvalidCredentialsTest","testInvalidLoginShowsError"
"Open signup page via 'Join as Student' button and verify page navigation.","1628","Open student signup page from main page","Surefire suite","2025-12-28","passed","2025-12-28","tests.OpenStudentSignupTest","Surefire test","tests.OpenStudentSignupTest","testJoinAsStudentSignup"
"Click footer Linkedin icon, check that correct Linkedin page opens","5351","Verify Linkedin icon opens linkedin.com","Surefire suite","2025-12-28","passed","2025-12-28","tests.VerifyLinkedinLinkTest","Surefire test","tests.VerifyLinkedinLinkTest","testLinkedinFooterLink"
"Click footer Facebook icon, check that correct Facebook page opens","3353","Verify Facebook icon opens facebook.com","Surefire suite","2025-12-28","passed","2025-12-28","tests.VerifyFacebookLinkTest","Surefire test","tests.VerifyFacebookLinkTest","testFacebookFooterLink"
"Ensure that the username and password required errors appear when trying to login with empty fields.","1470","Verify required field validation for empty login fields","Surefire suite","2025-12-28","passed","2025-12-28","tests.LoginWithEmptyFieldsTest","Surefire test","tests.LoginWithEmptyFieldsTest","testLoginWithEmptyFields"
"Logs in, subscribes to first course, and asserts course appears in cart.","7852","Subscribe to a course and validate it is in the cart","Surefire suite","2025-12-28","passed","2025-12-28","tests.SubscribeCourseEndToEndTest","Surefire test","tests.SubscribeCourseEndToEndTest","testSubscribeCourseEndToEnd"
"Ensure validation error is shown if username is left empty during registration.","3060","Validation for empty username on registration","Surefire suite","2025-12-28","passed","2025-12-28","tests.RegisterWithEmptyUsernameTest","Surefire test","tests.RegisterWithEmptyUsernameTest","testEmptyUsernameShowsValidation"
"Run search and ensure the resulting page title contains the keyword.","3719","Search for a course by keyword","Surefire suite","2025-12-28","passed","2025-12-28","tests.SearchTest","Surefire test","tests.SearchTest","testSearchWithValidKeyword"
